CASE_STATUS,EMPLOYER_NAME,SOC_NAME,JOB_TITLE,FULL_TIME_POSITION,PREVAILING_WAGE,YEAR,WORKSITE
CERTIFIED,SHAUL & DESMOND PLLC,ACCOUNTANTS,STAFF ACCOUNTANT,N,44491,2016,"WEST DES MOINES, IOWA"
CERTIFIED,"ZHAI & WANG, LLP",ACCOUNTANTS,STAFF ACCOUNTANT,N,58177.6,2016,"SAN JOSE, CALIFORNIA"
CERTIFIED,LOUIS PLUNG & COMPANY LLP,ACCOUNTANTS,TAX ACCOUNTANT,N,43430,2016,"PITTSBURGH, PENNSYLVANIA"
CERTIFIED,AMI SHAH CPA,ACCOUNTANTS,STAFF ACCOUNTANT,N,58177.6,2016,"SAN JOSE, CALIFORNIA"
CERTIFIED,CENTRE LAW & CONSULTING LLC,ACCOUNTANTS,STAFF ACCOUNTANT,N,52500,2016,"VIENNA, VIRGINIA"
CERTIFIED,"HARDING SHYMANSKI & COMPANY, PSC",ACCOUNTANTS,"STAFF ASSOCIATE, ACCOUNTANT",N,50690,2016,"LOUISVILLE, KENTUCKY"
CERTIFIED,"DOUBLE QUICK, INC.",ACCOUNTANTS,ACCOUNTING ANALYST,N,34757,2016,"INDIANOLA, MISSISSIPPI"
CERTIFIED,"PAPER STREET REALTY, LLC",ACCOUNTANTS,STAFF ACCOUNTANT,N,42848,2016,"CHICAGO, ILLINOIS"
CERTIFIED,"SEILER, LLP",ACCOUNTANTS,STAFF ACCOUNTANT,N,57304,2016,"REDWOOD CITY, CALIFORNIA"
CERTIFIED,"ORBBEC 3D TECHNOLOGY INTERNATIONAL, INC.",ACCOUNTANTS,ACCOUNTANT,N,44262,2016,"TROY, MICHIGAN"
CERTIFIED,"G.C. CONSULTANTS, INC.",ACCOUNTANTS,ACCOUNTANT,N,55370,2016,"NEW YORK, NEW YORK"
DENIED,"G.C. CONSULTANTS, INC.",ACCOUNTANTS,ACCOUNTANT,Y,119192320,2016,"SAN FRANCISCO, CALIFORNIA"
CERTIFIED,"ABNOTE USA, INC.",ACCOUNTANTS,STAFF ACCOUNTANT,N,52478,2016,"BOSTON, MASSACHUSETTS"
CERTIFIED,"ULLREY & COMPANY, P.C.",ACCOUNTANTS,STAFF ACCOUNTANT,N,40477,2016,"KALAMAZOO, MICHIGAN"
CERTIFIED,WENDROFF AND ASSOCIATES LLC,ACCOUNTANTS,ACCOUNTANT,N,55474,2016,"ARLINGTON, VIRGINIA"
CERTIFIED,"G.C. CONSULTANTS, INC.",ACCOUNTANTS,ACCOUNTANT,N,57304,2016,"SAN FRANCISCO, CALIFORNIA"
CERTIFIED,HYPER MICROSYSTEMS INC.,ACCOUNTANTS,ACCOUNTANT,N,58552,2016,"WOOD DALE, ILLINOIS"
CERTIFIED,ASPEN FINANCIALS CORP.,ACCOUNTANTS,STAFF ACCOUNTANT,N,47029,2016,"SELLERSVILLE, PENNSYLVANIA"
CERTIFIED,"ZHAI & WANG, LLP",ACCOUNTANTS,STAFF ACCOUNTANT,N,58177.6,2016,"SAN JOSE, CALIFORNIA"
CERTIFIED,"CIENA HEALTHCARE MANAGEMENT, INC",ACCOUNTANTS,ACCOUNTANT,Y,88088,2016,"SOUTHFIELD, MICHIGAN"
CERTIFIED,"TRIPLE J. FAMILY, INC.",ACCOUNTANTS,ACCOUNTANT,N,55369.6,2016,"NEW MILFORD, NEW JERSEY"
CERTIFIED,MATRIX METALS LLC,ACCOUNTANTS,MANAGEMENT ACCOUNTANT,Y,83200,2016,"RICHMOND, TEXAS"
CERTIFIED,"RAREFIED, LLC",ACCOUNTANTS,STAFF ACCOUNTANT,N,47964.8,2016,"PEACHTREE CORNERS, GEORGIA"
CERTIFIED,AMERICAN POLITICAL SCIENCE ASSOCIATION,ACCOUNTANTS,STAFF ACCOUNTANT II,N,46925,2016,"WASHINGTON, DISTRICT OF COLUMBIA"
CERTIFIED,"RAREFIED, LLC",ACCOUNTANTS,STAFF ACCOUNTANT,N,47964.8,2016,"PEACHTREE CORNERS, GEORGIA"
CERTIFIED,"SEILER, LLP",ACCOUNTANTS,SENIOR ACCOUNTANT,N,57304,2016,"REDWOOD CITY, CALIFORNIA"
CERTIFIED,"VINOD ARORA, CPA, P.A.",ACCOUNTANTS,ACCOUNTANT,N,43014.4,2016,"ORLANDO, FLORIDA"
CERTIFIED,MATRIX METALS LLC,ACCOUNTANTS,MANAGEMENT ACCOUNTANT,Y,83200,2016,"RICHMOND, TEXAS"
CERTIFIED,OHIOHEALTH CORP.,ACCOUNTANTS,SR. FINANCIAL ANALYST,N,45698,2016,"COLUMBUS, OHIO"
CERTIFIED,"MASTRAD, INC.",ACCOUNTANTS,ACCOUNTING MANAGER,N,47445,2016,"LOS ANGELES, CALIFORNIA"
CERTIFIED,"STATE AUTOMOBILE MUTUAL INSURANCE COMPANY, INC.",ACCOUNTANTS,FINANCIAL ACCOUNTANT I,N,39728,2016,"KANSAS CITY, MISSOURI"
CERTIFIED,"BDT CAPITAL PARTNERS, LLC",ACCOUNTANTS,FINANCE ASSOCIATE,N,42848,2016,"CHICAGO, ILLINOIS"
CERTIFIED,"FLORAL VALE DENTAL EXCELLENCE, PC",ACCOUNTANTS,ACCOUNTANT,N,49733,2016,"YARDLEY, PENNSYLVANIA"
CERTIFIED,CLIFTONLARSONALLEN LLP,ACCOUNTANTS,SENIOR TAX (SERVICE SPECIALIST),N,55515,2016,"QUINCY, MASSACHUSETTS"
CERTIFIED,OHIOHEALTH CORP.,ACCOUNTANTS,SR. FINANCIAL ANALYST,N,46508.8,2016,"DUBLIN, OHIO"
CERTIFIED,"BDT CAPITAL PARTNERS, LLC",ACCOUNTANTS,FINANCE ASSOCIATE,N,42120,2016,"CHICAGO, ILLINOIS"
CERTIFIED,HULU LLC,ACCOUNTANTS,STAFF ACCOUNTANT II,N,63086,2016,"SANTA MONICA, CALIFORNIA"
CERTIFIED,MICROVEST CAPITAL MANAGEMENT LLC,ACCOUNTANTS,CORPORATE ACCOUNTANT,N,55723,2016,"BETHESDA, MARYLAND"
CERTIFIED,"VLINK,  INC.",COMPUTER SYSTEMS ANALYSTS,BUSINESS DATA ANALYST,N,67725,2016,"SOUTH WINDSOR, CONNECTICUT"
CERTIFIED,"VLINK,  INC.",COMPUTER SYSTEMS ANALYSTS,BUSINESS DATA ANALYST,N,67725,2016,"SOUTH WINDSOR, CONNECTICUT"
CERTIFIED,"VLINK,  INC.",COMPUTER SYSTEMS ANALYSTS,BUSINESS DATA ANALYST,N,67725,2016,"SOUTH WINDSOR, CONNECTICUT"
CERTIFIED,JPMORGAN CHASE & CO.,COMPUTER SYSTEMS ANALYSTS,SENIOR JAVA DEVELOPER,Y,120224,2016,"NEW YORK, NEW YORK"
CERTIFIED,"TARGET ENTERPRISE, INC.",COMPUTER SYSTEMS ANALYSTS,TECHNICAL ARCHITECT CONSULTANT,Y,100506,2016,"MINNEAPOLIS, MINNESOTA"
CERTIFIED,"ALLIANT TECHNOLOGIES, LLC",COMPUTER SYSTEMS ANALYSTS,BUSINESS ANALYST,N,62462,2016,"MORRISTOWN, NEW JERSEY"
CERTIFIED,PLACEIQ INC.,COMPUTER SYSTEMS ANALYSTS,JR. SYSTEM ADMINISTRATOR,N,61797,2016,"NEW YORK, NEW YORK"
CERTIFIED,"XAXIS, INC.",COMPUTER SYSTEMS ANALYSTS,LINUX SYSTEM ADMINISTRATOR,Y,81266,2016,"NEW YORK, NEW YORK"
CERTIFIED,"TARGET ENTERPRISE, INC.",COMPUTER SYSTEMS ANALYSTS,PRINCIPAL ENGINEER,Y,127837,2016,"SUNNYVALE, CALIFORNIA"
CERTIFIED,"TARGET ENTERPRISE, INC.",COMPUTER SYSTEMS ANALYSTS,LEAD ENGINEER,Y,127837,2016,"SUNNYVALE, CALIFORNIA"
CERTIFIED,"TARGET ENTERPRISE, INC.",COMPUTER SYSTEMS ANALYSTS,LEAD ENGINEER,Y,100506,2016,"MINNEAPOLIS, MINNESOTA"
CERTIFIED,"CASH AMERICA INTERNATIONAL, INC.",COMPUTER SYSTEMS ANALYSTS,DEVELOPER III,Y,71906,2016,"FORT WORTH, TEXAS"
CERTIFIED,"TARGET ENTERPRISE, INC.",COMPUTER SYSTEMS ANALYSTS,SENIOR ENGINEER,Y,100506,2016,"MINNEAPOLIS, MINNESOTA"
CERTIFIED,"TARGET ENTERPRISE, INC.",COMPUTER SYSTEMS ANALYSTS,LEAD ENGINEER,Y,104291,2016,"BROOKLYN PARK, MINNESOTA"
CERTIFIED,"OPTUM SERVICES, INC.",COMPUTER SYSTEMS ANALYSTS,SENIOR ENTERPRISE RESOURCE PLANNING ANALYST,Y,77771,2016,"EDEN PRAIRIE, MINNESOTA"
CERTIFIED,"CLARKSTON-POTOMAC GROUP, INC.",COMPUTER SYSTEMS ANALYSTS,SAP APO SENIOR CONSULTANT,Y,87568,2016,"DURHAM, NORTH CAROLINA"
CERTIFIED,"CLARKSTON-POTOMAC GROUP, INC.",COMPUTER SYSTEMS ANALYSTS,VALIDATION ENGINEER,Y,86070,2016,"PEAPACK, NEW JERSEY"
CERTIFIED,"CLARKSTON-POTOMAC GROUP, INC.",COMPUTER SYSTEMS ANALYSTS,SAP QM PRINCIPAL CONSULTANT,Y,101400,2016,"PEAPACK, NEW JERSEY"
DENIED,"PARAMOUNT GLOBAL SOLUTIONS, INC.",COMPUTER SYSTEMS ANALYSTS,SYSTEMS ANALYST,Y,87402,2016,"PORTLAND, OREGON"
CERTIFIED,"PARAMOUNT GLOBAL SOLUTIONS, INC.",COMPUTER SYSTEMS ANALYSTS,SYSTEMS ANALYST,Y,87402,2016,"PORTLAND, OREGON"
CERTIFIED,"CLARKSTON-POTOMAC GROUP, INC.",COMPUTER SYSTEMS ANALYSTS,SAP SR. FUNCTIONAL ANALYST/CONSULTANT,Y,87568,2016,"DURHAM, NORTH CAROLINA"
DENIED,AES CORPORATION,COMPUTER SYSTEMS ANALYSTS,LEGAL APPLICATIONS DEVELOPER,Y,72342,2016,"PEABODY, MASSACHUSETTS"
CERTIFIED,AES CORPORATION,COMPUTER SYSTEMS ANALYSTS,LEGAL APPLICATIONS DEVELOPER,Y,72342,2016,"PEABODY, MASSACHUSETTS"
CERTIFIED,"CLARKSTON-POTOMAC GROUP, INC.",COMPUTER SYSTEMS ANALYSTS,TECHNICAL CONSULTANT,Y,73861,2016,"DURHAM, NORTH CAROLINA"
CERTIFIED,"CLARKSTON-POTOMAC GROUP, INC.",COMPUTER SYSTEMS ANALYSTS,SAP SR. FUNCTIONAL ANALYST/CONSULTANT,Y,87568,2016,"DURHAM, NORTH CAROLINA"
DENIED,"CLARKSTON-POTOMAC GROUP, INC.",COMPUTER SYSTEMS ANALYSTS,SAP SR. FUNCTIONAL ANALYST/CONSULTANT,Y,101400,2016,"PEAPACK, NEW JERSEY"
CERTIFIED,"CLARKSTON-POTOMAC GROUP, INC.",COMPUTER SYSTEMS ANALYSTS,SAP SR. FUNCTIONAL ANALYST/CONSULTANT,Y,101400,2016,"PEAPACK, NEW JERSEY"
CERTIFIED,"CLARKSTON-POTOMAC GROUP, INC.",COMPUTER SYSTEMS ANALYSTS,TECHNICAL CONSULTANT,Y,86070,2016,"PEAPACK, NEW JERSEY"
CERTIFIED,"CLARKSTON-POTOMAC GROUP, INC.",COMPUTER SYSTEMS ANALYSTS,SAP SR. FUNCTIONAL ANALYST/CONSULTANT,Y,101400,2016,"PEAPACK, NEW JERSEY"
CERTIFIED,KFORCE INC.,COMPUTER SYSTEMS ANALYSTS,SENIOR PROGRAMMER ANALYST,N,67038.4,2016,"BETHLEHEM, PENNSYLVANIA"
CERTIFIED,"GLOBAL EDGE SOFTWARE, INC",COMPUTER SYSTEMS ANALYSTS,COMPUTER SYSTEMS ANALYST,N,69805,2016,"MOUNTAIN VIEW, CALIFORNIA"
CERTIFIED,"BIDMAIL, INC.",COMPUTER SYSTEMS ANALYSTS,TECHNICAL BUSINESS ANALYST,N,61693,2016,"OREM, UTAH"
CERTIFIED,"GLOBAL EDGE SOFTWARE, INC",COMPUTER SYSTEMS ANALYSTS,COMPUTER SYSTEMS ANALYST,N,69805,2016,"SANTA CLARA, CALIFORNIA"
CERTIFIED,"EDGEWARE COMPUTERS, INC.",COMPUTER SYSTEMS ANALYSTS,SYSTEMS ANALYST,N,45864,2016,"MARIETTA, GEORGIA"
CERTIFIED,"EDGEWARE COMPUTERS, INC.",COMPUTER SYSTEMS ANALYSTS,SYSPRO SOFTWARE CONSULTANT,N,64043,2016,"MARIETTA, GEORGIA"
CERTIFIED,HALLMARK GLOBAL TECHNOLOGIES INC,COMPUTER SYSTEMS ANALYSTS,COMPUTER SYSTEMS ANALYST,Y,90189,2016,"SCOTTSDALE, ARIZONA"
CERTIFIED,RELIANCE GRANITE AND MARBLE CORP,COMPUTER SYSTEMS ANALYSTS,SYSTEMS ANALYST,N,62462,2016,"UNION, NEW JERSEY"
CERTIFIED,HALLMARK GLOBAL TECHNOLOGIES INC,COMPUTER SYSTEMS ANALYSTS,SYSTEMS ANALYST,N,58219,2016,"ORANGE, CALIFORNIA"
CERTIFIED,ACNOVATE CORPORATION,COMPUTER SYSTEMS ANALYSTS,PLM ANALYST,N,69618,2016,"FRAMINGHAM, MASSACHUSETTS"
CERTIFIED,"SOFT SERVO SYSYTEMS, INC.",COMPUTER SYSTEMS ANALYSTS,SYSTEMS ANALYST,N,63710,2016,"WALTHAM, MASSACHUSETTS"
CERTIFIED,RELIANCE GRANITE AND MARBLE CORP,COMPUTER SYSTEMS ANALYSTS,SYSTEMS ANALYST,N,64147,2016,"KENILWORTH, NEW JERSEY"
CERTIFIED,NIIT TECHNOLOGIES LIMITED,COMPUTER SYSTEMS ANALYSTS,SYSTEMS ANALYST,N,62400,2016,"ATLANTA, GEORGIA"
CERTIFIED,NIIT TECHNOLOGIES LIMITED,COMPUTER SYSTEMS ANALYSTS,SYSTEMS ANALYST,N,62400,2016,"ATLANTA, GEORGIA"
CERTIFIED,"PALAMIDA, INC.",COMPUTER SYSTEMS ANALYSTS,OPEN SOURCE ANALYST,Y,74922,2016,"SAN FRANCISCO, CALIFORNIA"
CERTIFIED,"SOFTWARE GUIDANCE & ASSISTANCE, INC.",COMPUTER SYSTEMS ANALYSTS,SYSTEM/PRODUCTION SUPPORT ANALYST,Y,73798,2016,"RESEARCH TRIANGLE PARK, NORTH CAROLINA"
CERTIFIED,"UNIFY SOLUTIONS, INC.",COMPUTER SYSTEMS ANALYSTS,BUSINESS ANALYST,Y,81266,2016,"NEW YORK, NEW YORK"
CERTIFIED,"UNIFY SOLUTIONS, INC.",COMPUTER SYSTEMS ANALYSTS,COMPUTER SYSTEMS ANALYST,N,63960,2016,"CONCORD, NEW HAMPSHIRE"
CERTIFIED,"UNIFY SOLUTIONS, INC.",COMPUTER SYSTEMS ANALYSTS,COMPUTER SYSTEMS ANALYST,N,49234,2016,"AUGUSTA, MAINE"
CERTIFIED,"UNIFY SOLUTIONS, INC.",COMPUTER SYSTEMS ANALYSTS,SYSTEMS ANALYST,Y,75941,2016,"WINDSOR MILL, MARYLAND"
CERTIFIED,"UNIFY SOLUTIONS, INC.",COMPUTER SYSTEMS ANALYSTS,COMPUTER SYSTEMS ANALYST,N,63981,2016,"DEERFIELD BEACH, FLORIDA"
CERTIFIED,"UNIFY SOLUTIONS, INC.",COMPUTER SYSTEMS ANALYSTS,SYSTEMS ANALYST,Y,75421,2016,"FREMONT, CALIFORNIA"
CERTIFIED,"UNIFY SOLUTIONS, INC.",COMPUTER SYSTEMS ANALYSTS,COMPUTER SYSTEMS ANALYST,Y,78250,2016,"DETROIT, MICHIGAN"
CERTIFIED,"MIND CRAFT TECHNOLOGIES, INC",COMPUTER SYSTEMS ANALYSTS,SYSTEM ANALYST,N,45864,2016,"FAYETTEVILLE, GEORGIA"
CERTIFIED,VECTRATEK SOLUTIONS,COMPUTER SYSTEMS ANALYSTS,COMPUTER SYSTEMS ANALYSTS,N,56514,2016,"AURORA, ILLINOIS"
CERTIFIED,HORIZON ADVANCED SYSTEMS INC,COMPUTER SYSTEMS ANALYSTS,COMPUTER SYSTEMS ANALYSTS,N,60133,2016,"IRVING, TEXAS"
CERTIFIED,TECHNOVIZ LLC,COMPUTER SYSTEMS ANALYSTS,PROGRAMMER ANALYST /  BI DEVELOPER,N,61402,2016,"MADISON, WISCONSIN"
CERTIFIED,ERNST &AMP; YOUNG U.S. LLP,COMPUTER SYSTEMS ANALYSTS,ADVISORY STAFF,N,56514,2016,"CHICAGO, ILLINOIS"
CERTIFIED,TECHNOVIZ LLC,COMPUTER SYSTEMS ANALYSTS,PROGRAMMER ANALYST/ .NET DEVELOPER,N,64501,2016,"RICHFIELD, MINNESOTA"
DENIED,WISE EQUATION SOLUTIONS INC.,COMPUTER SYSTEMS ANALYSTS,SYSTEMS ANALYST,N,61485,2016,"CHESTERFIELD, MISSOURI"
CERTIFIED,STARBUCKS COFFEE COMPANY,COMPUTER SYSTEMS ANALYSTS,SYSTEMS ANALYST SENIOR-IT,Y,85176,2016,"SEATTLE, WASHINGTON"
CERTIFIED,"PROKARMA, INC.",COMPUTER SYSTEMS ANALYSTS,BUSINESS SYSTEMS ANALYST,Y,78811,2016,"FINDLAY, OHIO"
CERTIFIED,3S BUSINESS CORPORATION,COMPUTER SYSTEMS ANALYSTS,SYSTEMS ANALYST,N,68411,2016,"REDMOND, WASHINGTON"
CERTIFIED,ARICENT TECHNOLOGIES (HOLDINGS) LTD.,COMPUTER SYSTEMS ANALYSTS,ENGINEERING PROJECT MANAGER,Y,101941,2016,"REDMOND, WASHINGTON"
DENIED,GOKATECH INC,COMPUTER SYSTEMS ANALYSTS,PROGRAMMER ANALYST,N,60133,2016,"PLANO, TEXAS"
CERTIFIED,VECTRATEK SOLUTIONS,COMPUTER SYSTEMS ANALYSTS,COMPUTER SYSTEMS ANALYSTS,N,56514,2016,"AURORA, ILLINOIS"
CERTIFIED,VECTRATEK SOLUTIONS,COMPUTER SYSTEMS ANALYSTS,COMPUTER SYSTEMS ANALYSTS,N,56514,2016,"AURORA, ILLINOIS"
CERTIFIED,DATASYS CONSULTING & SOFTWARE INC,COMPUTER SYSTEMS ANALYSTS,SYSTEMS ANALYST,N,62192,2016,"PRINCETON, NEW JERSEY"
CERTIFIED,3S BUSINESS CORPORATION,COMPUTER SYSTEMS ANALYSTS,SAP CONSULTANT,N,66602,2016,"CLEVELAND, OHIO"
CERTIFIED,SPA ENTERPRISE SERVICES INC.,COMPUTER SYSTEMS ANALYSTS,BUSINESS ANALYST,N,50336,2016,"LAS VEGAS, NEVADA"
CERTIFIED,QCENTUM TECHNOLOGIES LLC,COMPUTER SYSTEMS ANALYSTS,PROGRAMMER ANALYST,N,68411,2016,"BELLEVUE, WASHINGTON"
CERTIFIED,"HEALTHEDGE SOFTWARE, INC.",COMPUTER SYSTEMS ANALYSTS,HEALTHRULES PAYOR/CAREMANAGER BUSINESS ANALYST,Y,92518,2016,"POWELL, OHIO"
CERTIFIED,"S&R PROFESSIONALS,L.P.",COMPUTER SYSTEMS ANALYSTS,PROGRAMMER ANALYST,N,60000,2016,"HOUSTON, TEXAS"
CERTIFIED,"OPTUM SERVICES, INC.",COMPUTER SYSTEMS ANALYSTS,SENIOR IT OPERATING SYSTEM CONSULTANT,Y,100506,2016,"PLYMOUTH, MINNESOTA"
CERTIFIED,3S BUSINESS CORPORATION,COMPUTER SYSTEMS ANALYSTS,SYSTEMS ANALYST,N,48630,2016,"AUSTIN, TEXAS"
CERTIFIED,PEOPLE TECH GROUP INC.,COMPUTER SYSTEMS ANALYSTS,PROGRAMMER ANALYST,N,59717,2016,"CONSHOHOCKEN, PENNSYLVANIA"
CERTIFIED,3S BUSINESS CORPORATION,COMPUTER SYSTEMS ANALYSTS,SAP CONSULTANT,Y,74422,2016,"PHOENIX, ARIZONA"
CERTIFIED,PEOPLE TECH GROUP INC.,COMPUTER SYSTEMS ANALYSTS,PROGRAMMER ANALYST,N,59717,2016,"CONSHOHOCKEN, PENNSYLVANIA"
CERTIFIED,PEOPLE TECH GROUP INC.,COMPUTER SYSTEMS ANALYSTS,PROGRAMMER ANALYST,N,59717,2016,"CONSHOHOCKEN, PENNSYLVANIA"
CERTIFIED,DELL USA L.P.,COMPUTER SYSTEMS ANALYSTS,SOFTWARE DEVELOPMENT SENIOR ANALYST,Y,71024,2016,"PLANO, TEXAS"
CERTIFIED,PEOPLE TECH GROUP INC.,COMPUTER SYSTEMS ANALYSTS,PROGRAMMER ANALYST,N,67642,2016,"REDMOND, WASHINGTON"
CERTIFIED,PEOPLE TECH GROUP INC.,COMPUTER SYSTEMS ANALYSTS,PROGRAMMER ANALYST,N,59717,2016,"CONSHOHOCKEN, PENNSYLVANIA"
CERTIFIED,"SAICON CONSULTANTS, INC.",COMPUTER SYSTEMS ANALYSTS,COMPUTER SYSTEMS ANALYST,N,45864,2016,"ATLANTA, GEORGIA"
CERTIFIED,"SAICON CONSULTANTS, INC.",COMPUTER SYSTEMS ANALYSTS,COMPUTER SYSTEMS ANALYST,N,64043,2016,"ATLANTA, GEORGIA"
CERTIFIED,MAKEURCAREER LLC,COMPUTER SYSTEMS ANALYSTS,PROGRAMMER ANALYST,N,62566,2016,"LAKE WORTH, FLORIDA"
DENIED,"DIRECT ENERGY, LP",COMPUTER SYSTEMS ANALYSTS,SR. OPERATIONS ANALYST,N,69800,2016,"TULSA, OKLAHOMA"
CERTIFIED,"SAICON CONSULTANTS, INC.",COMPUTER SYSTEMS ANALYSTS,COMPUTER SYSTEMS ANALYST,N,61797,2016,"NEW YORK, NEW YORK"
CERTIFIED,BLUE SHIELD OF CALIFORNIA,COMPUTER SYSTEMS ANALYSTS,SYSTEMS ANALYST IV,Y,121222,2016,"SAN FRANCISCO, CALIFORNIA"
CERTIFIED,MONITRONICS SECURITY LP,COMPUTER SYSTEMS ANALYSTS,SENIOR SSRS DEVELOPER,Y,99258,2016,"FARMERS BRANCH, TEXAS"
CERTIFIED,"COPART, INC.",COMPUTER SYSTEMS ANALYSTS,SAP ABAP DEVELOPER,Y,86216,2016,"DALLAS, TEXAS"
CERTIFIED,UBS SECURITIES LLC,COMPUTER SYSTEMS ANALYSTS,IT BUSINESS ANALYST / IMPLEMENTATION SPECIALIST,N,61797,2016,"WEEHAWKEN, NEW JERSEY"
CERTIFIED,"AURIONPRO SOLUTIONS, INC.",COMPUTER SYSTEMS ANALYSTS,SENIOR ARCHITECT,Y,116709,2016,"WOODBRIDGE, NEW JERSEY"
CERTIFIED,"ITELLIGENCE, INC.",COMPUTER SYSTEMS ANALYSTS,SENIOR SAP APPLICATION CONSULTANT,Y,88379,2016,"TONAWANDA, NEW YORK"
CERTIFIED,UNIVERSAL SERVICE ADMINISTRATIVE COMPANY,COMPUTER SYSTEMS ANALYSTS,SYSTEMS ANALYST III,Y,83782,2016,"WASHINGTON D.C., DISTRICT OF COLUMBIA"
CERTIFIED,3S BUSINESS CORPORATION,COMPUTER SYSTEMS ANALYSTS,SAP CONSULTANT,N,61797,2016,"WHITE PLAINS, NEW YORK"
CERTIFIED,EXILANT TECHNOLOGIES PRIVATE LIMITED,COMPUTER SYSTEMS ANALYSTS,SYSTEMS ANALYST II,Y,89149,2016,"SUNNYVALE, CALIFORNIA"
CERTIFIED,EXILANT TECHNOLOGIES PRIVATE LIMITED,COMPUTER SYSTEMS ANALYSTS,SYSTEMS ANALYST II,Y,89149,2016,"SUNNYVALE, CALIFORNIA"
CERTIFIED,PRICEWATERHOUSECOOPERS LLP,COMPUTER SYSTEMS ANALYSTS,ASSURANCE MANAGER,Y,96450,2016,"TAMPA, FLORIDA"
CERTIFIED,CSC COVANSYS CORPORATION,COMPUTER SYSTEMS ANALYSTS,SENIOR PROFESSIONAL: BUSINESS ANALYST,N,66872,2016,"AUBURN HILLS, MICHIGAN"
CERTIFIED,COMPUTER SCIENCES CORPORATION,COMPUTER SYSTEMS ANALYSTS,PROFESSIONAL: SYSTEM PROGRAMMER ANALYST,N,52021,2016,"OMAHA, NEBRASKA"
CERTIFIED,CSC COVANSYS CORPORATION,COMPUTER SYSTEMS ANALYSTS,PROFESSIONAL: PROGRAMMER ANALYST,N,60029,2016,"PLEASANTON, CALIFORNIA"
